,Average Daily Returns,Beta Alpha,Sharpe Ratio,Piotroski F-Score,Revenue Growth,Earning per Share,Price to Earning,Debt to Equity,Free Cash Flow,Return on Equity,Dividend Yield
SOFA.JK,-0.0015664480391315355,,-0.7,{},,,0.0,0.0,,,0.0
SOHO.JK,0.0014294489616353246,,0.64,"{'net_income': 356728000000.0, 'roa': 0.07972289807421849, 'op_revenue_v_net_income_margin': 6933393000000.0, 'lt_debt_decreased_percent': 30.334412081984897, 'current_ratio': 0.4574809943863126}",-12.89151862506296,13.560673818753521,36.72383884872289,0.008169212687170553,,7.795879745198464,134.33734939759037
SONA.JK,-0.0013473958998741033,"{'beta': array([-0.077]), 'alpha': array([-0.001])}",-0.88,"{'op_revenue_v_net_income_margin': 376955214825.0, 'current_ratio': 0.17612142318138008}",261.7935094784268,-198.37505593900966,-3.60428379775644,0.26407079457691773,,-18.699599149045895,83.84615384615385
SOSS.JK,0.000856680512106746,"{'beta': array([0.058]), 'alpha': array([0.001])}",0.37,{},,,0.0,0.0,,,0.0
SOTS.JK,0.001500101082367362,"{'beta': array([-0.08]), 'alpha': array([0.002])}",0.51,{},,,0.0,0.0,,,0.0
SOUL.JK,-0.0030643715641498967,,-1.13,{},,,0.0,0.0,,,0.0
SPMA.JK,0.0012189083373313717,"{'beta': array([0.013]), 'alpha': array([0.001])}",0.64,"{'net_income': 162524650713.0, 'roa': 0.07017275002326383, 'op_revenue_v_net_income_margin': 1988970331255.0, 'lt_debt_decreased_percent': 18.393520317657842, 'current_ratio': 0.3387957360851987, 'percent_shares_outstanding': 24.242380426330566}",-23.00835853688355,51.52822257369053,6.675953153789567,0.49681445675297814,,10.61287016024232,8.430232558139535
SPTO.JK,0.00026858890764179283,"{'beta': array([-0.071]), 'alpha': array([0.])}",0.25,"{'net_income': 114984740521.0, 'roa': 0.03787894424452176, 'op_revenue_v_net_income_margin': 1796005159116.0, 'current_ratio': 0.36056602360380247}",-14.632159027714179,42.5869409337037,12.679943385476626,0.27755277347675406,,9.489366668363358,24.62962962962963
SQMI.JK,-0.0007020527254797542,"{'beta': array([-0.031]), 'alpha': array([-0.001])}",-0.28,{'op_revenue_v_net_income_margin': 37035472023.0},7.1910563119720505,-2.0504384894819982,-25.36042913100834,-1.4046009343089123,,17.922643011822608,0.0
SRAJ.JK,0.00338564629061801,"{'beta': array([-0.032]), 'alpha': array([0.003])}",0.97,"{'op_revenue_v_net_income_margin': 1298179236230.0, 'current_ratio': 0.5962716496534242}",-33.290212069202255,-1.1983156447124494,-1134.9263493312303,1.8209245056203989,,-0.8199006528571801,0.0
SRIL.JK,-0.00018735221525195057,"{'beta': array([-0.025]), 'alpha': array([-0.])}",-0.21,"{'net_income': 85325108.0, 'roa': 0.04607215019719017, 'op_revenue_v_net_income_margin': 1197244276.0, 'current_ratio': 0.6369216301540996}",51.3314902080236,0.004171928014148906,34995.80997199558,2.021238053335673,,12.689312838091777,
SRSN.JK,0.00036340533612201945,"{'beta': array([-0.049]), 'alpha': array([0.])}",0.24,"{'net_income': 44152245000.0, 'roa': 0.048687650852021716, 'op_revenue_v_net_income_margin': 846844621000.0, 'current_ratio': 0.3517236468014813}",-1.854502921716357,7.334260278666218,8.180784117319515,0.3727230601667022,,7.510323431018673,6.666666666666667
SRTG.JK,0.0015979081164360254,"{'beta': array([-0.122]), 'alpha': array([0.002])}",0.87,"{'net_income': 8825428000000.0, 'roa': 0.2518029285271864, 'op_revenue_v_net_income_margin': 361273000000.0, 'lt_debt_decreased_percent': 17.93556577449825, 'current_ratio': 0.10420632013815878}",-64.75451412610391,651.9582299288833,2.3697837209118924,0.02339977735780975,,28.126594194614675,28.54368932038835
SSIA.JK,0.0004181284166383745,"{'beta': array([0.183]), 'alpha': array([0.])}",0.24,"{'op_revenue_v_net_income_margin': 3034863322651.0, 'lt_debt_decreased_percent': 39.27610689358018, 'current_ratio': 0.4447391210075127}",25.262873967076388,-19.217623480082487,-48.39308049530005,0.646191369504516,,-2.333681724322647,15.237634408602151
SSMS.JK,0.0009066263408006895,"{'beta': array([0.054]), 'alpha': array([0.001])}",0.49,"{'net_income': 576634024000.0, 'roa': 0.04513440675841759, 'op_revenue_v_net_income_margin': 3434496535000.0, 'current_ratio': 0.6187528894173324}",-22.908840625529034,60.53900392404318,18.08751266165314,1.069914945173842,,11.895384992935993,11.154639269406392
