,Average Daily Returns,Beta Alpha,Sharpe Ratio,Piotroski F-Score,Revenue Growth,Earning per Share,Price to Earning,Debt to Equity,Free Cash Flow,Return on Equity,Dividend Yield
BBNI.JK,0.001211718057429114,"{'beta': array([-0.015]), 'alpha': array([0.001])}",1.06,6,-4.778693030255229,5668.729079429653,1.0760789437151472,0.48998715045413244,75527364000000.0,2.976974299162956,26.013720770491805
BBRI.JK,0.0010088724125456605,"{'beta': array([-0.013]), 'alpha': array([0.001])}",0.91,6,-16.011575947356917,123.71264530913241,51.32862517111859,0.7651531417484786,34179650000000.0,8.22099314605118,22.40059011023622
BBRM.JK,0.0003357297385936013,"{'beta': array([-0.066]), 'alpha': array([0.])}",0.19,,50.27291912163224,-0.0031224974078395006,-20496.414132904752,0.16748208522053293,,-155.3673694442629,71.265625
BBSI.JK,0.0030628855975693985,,1.18,5,-42.146753872842865,9.572317927624418,460.70346109935764,0.0,-462176656962.0,3.486243315140216,0.0
BBSS.JK,5.394907204486437e-05,"{'beta': array([-0.081]), 'alpha': array([0.])}",0.02,,,,0.0,0.0,,,0.0
BBTN.JK,0.0003616101906407109,"{'beta': array([-0.019]), 'alpha': array([0.])}",0.27,6,-25.885132923516142,114.1735999238698,12.086857214979425,2.5682469396551753,27456689000000.0,8.016662126407324,28.3851281884058
BBYB.JK,0.0017611287660151307,"{'beta': array([0.195]), 'alpha': array([0.002])}",0.52,6,-44.89007703080017,1.3183624770532618,221.48688625655052,0.3164402137039842,-127039396531.0,1.4163153332971787,0.9180904109589043
BCAP.JK,-0.0004004222626713481,"{'beta': array([0.103]), 'alpha': array([-0.])}",-0.14,5,-8.193384344982434,1.456583799695435,34.326895582976256,0.5198125520035046,,1.3476239330785906,18.907572
BCIC.JK,-0.002105927280672162,"{'beta': array([0.092]), 'alpha': array([-0.002])}",-0.62,3,-96.41810667356658,-1708780.5686752428,-6.554381648126397e-05,0.00022449644200855026,-1524917000000.0,-33.56644471082225,0.0
BCIP.JK,0.0006865225342369233,"{'beta': array([-0.029]), 'alpha': array([0.001])}",0.31,,21.09883975987568,7.922851971438962,6.941944668191347,0.06398385303001089,,2.5969994803038237,0.0
BDKR.JK,0.00400038935073079,,2.31,,-13.369166260596185,6.005911617703505,84.91633451559349,0.4151706077333411,,5.638708105861469,0.0
BDMN.JK,0.00022171860421264146,"{'beta': array([-0.044]), 'alpha': array([0.])}",0.18,5,0.8915623834319119,44982.767857142855,0.06446913202873322,0.3651841815993774,17572565000000.0,2.33742778832227,85.81005258620691
BEBS.JK,0.00261191387064434,,0.68,,-75.90400181084844,0.4620153074567075,108.22152251889442,0.0,,5.604081585047522,1.468
